name,keygen,sign,verify,signature,pk,sk
XMSSMT-SHA2_20/2_256,3118500216,3768984,1676682,4899,64,5966
XMSSMT-SHA2_20/4_256,205928460,6701778,3302856,9123,64,10842
XMSSMT-SHA2_40/4_256,6111330408,6775578,3367674,9765,64,15156
XMSSMT-SHA2_40/8_256,421704720,6636150,6578640,18213,64,24292
XMSSMT-SHA2_60/6_256,9212217048,9834372,5043978,14632,64,24347
XMSSMT-SHA2_60/12_256,590852376,6655554,9848970,27304,64,37743
XMSSMT-SHA2_20/2_512,21771015228,26223552,11456892,17987,128,15758
XMSSMT-SHA2_20/4_512,1444733100,47859624,22947750,34627,128,33626
XMSSMT-SHA2_40/4_512,43337753064,47542536,23114718,35909,128,41972
XMSSMT-SHA2_40/8_512,2891694348,47495754,46440648,69189,128,76516
XMSSMT-SHA2_60/6_512,65241573480,68704668,34608996,53832,128,68187
XMSSMT-SHA2_60/12_512,4197559644,47451924,69522930,103752,128,119407
XMSSMT-SHA2_20/2_192,1997951040,2467044,1099980,2907,48,4158
XMSSMT-SHA2_20/4_192,133595676,4259340,2137932,5307,48,7066
XMSSMT-SHA2_40/4_192,3993020136,4302990,2186424,5789,48,10372
XMSSMT-SHA2_40/8_192,270959364,4279050,4293126,10589,48,15716
XMSSMT-SHA2_60/6_192,5922093888,6206382,3251826,8672,48,16587
XMSSMT-SHA2_60/12_192,388450260,4318524,6467760,15872,48,24367
XMSSMT-SHAKE_20/2_256,10926481032,13278870,5770854,4899,64,5966
XMSSMT-SHAKE_20/4_256,722327868,23823738,11518020,9123,64,10842
XMSSMT-SHAKE_40/4_256,21800594664,23788656,11308122,9765,64,15156
XMSSMT-SHAKE_40/8_256,1422925776,23784876,22552668,18213,64,24292
XMSSMT-SHAKE_60/6_256,32771966400,34440912,17060670,14632,64,24347
XMSSMT-SHAKE_60/12_256,2132075484,23932764,33975306,27304,64,37743
XMSSMT-SHAKE_20/4_512,2481508404,83815794,39808368,34627,128,33626
XMSSMT-SHAKE_40/4_512,75490496244,82866564,39879108,35909,128,41972
XMSSMT-SHAKE_40/8_512,4944876840,83403126,79286958,69189,128,76516
XMSSMT-SHAKE_60/6_512,113727752028,119970360,59860440,53832,128,68187
XMSSMT-SHAKE_60/12_512,7349705244,82872720,119115792,103752,128,119407
XMSSMT-SHAKE256_20/2_256,10433094588,12529494,5531094,4899,64,5966
XMSSMT-SHAKE256_20/4_256,698620392,22806234,11090754,9123,64,10842
XMSSMT-SHAKE256_40/4_256,20830958172,22584744,11067732,9765,64,15156
XMSSMT-SHAKE256_40/8_256,1357966188,22758804,22020138,18213,64,24292
XMSSMT-SHAKE256_60/6_256,31048091712,32707962,16657614,14632,64,24347
XMSSMT-SHAKE256_60/12_256,2019728664,22604778,32743098,27304,64,37743
XMSSMT-SHAKE256_20/2_192,7701230628,9301482,4125564,2907,48,4158
XMSSMT-SHAKE256_20/4_192,513443304,16590348,8076150,5307,48,7066
XMSSMT-SHAKE256_40/4_192,15321653784,16670448,8214084,5789,48,10372
XMSSMT-SHAKE256_40/8_192,979483644,16741926,16256556,10589,48,15716
XMSSMT-SHAKE256_60/6_192,22849024932,24038622,12288024,8672,48,16587
XMSSMT-SHAKE256_60/12_192,1470316644,16589088,24196410,15872,48,24367
